"user_id","status_id","created_at","screen_name","text","source","display_text_width","reply_to_status_id","reply_to_user_id","reply_to_screen_name","is_quote","is_retweet","favorite_count","retweet_count","quote_count","reply_count","hashtags","symbols","urls_url","urls_t.co","urls_expanded_url","media_url","media_t.co","media_expanded_url","media_type","ext_media_url","ext_media_t.co","ext_media_expanded_url","ext_media_type","mentions_user_id","mentions_screen_name","lang","quoted_status_id","quoted_text","quoted_created_at","quoted_source","quoted_favorite_count","quoted_retweet_count","quoted_user_id","quoted_screen_name","quoted_name","quoted_followers_count","quoted_friends_count","quoted_statuses_count","quoted_location","quoted_description","quoted_verified","retweet_status_id","retweet_text","retweet_created_at","retweet_source","retweet_favorite_count","retweet_retweet_count","retweet_user_id","retweet_screen_name","retweet_name","retweet_followers_count","retweet_friends_count","retweet_statuses_count","retweet_location","retweet_description","retweet_verified","place_url","place_name","place_full_name","place_type","country","country_code","geo_coords","coords_coords","bbox_coords","status_url","name","location","description","url","protected","followers_count","friends_count","listed_count","statuses_count","favourites_count","account_created_at","verified","profile_url","profile_expanded_url","account_lang","profile_banner_url","profile_background_url","profile_image_url"
"x2221302698","x1454032770058047494",2021-10-29 10:30:01,"Spruchschleuder","""Bums mir !"" - ""Wem ? Ich ?""","Spruchschleuder",,,,,FALSE,FALSE,0,0,0,0,,,,,,,,,,,,,,,,"de",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/Spruchschleuder/status/1454032770058047494","Spruchschleuder",,"Alle paar Stunden ein neuer, blöder Spruch.",,FALSE,33,141,6,65749,0,2013-11-29 11:48:09,FALSE,,,,,"http://abs.twimg.com/images/themes/theme1/bg.png","http://pbs.twimg.com/profile_images/378800000805905075/3e5f5e0a9f84dba01670c5067747b553_normal.png"
"x1419729588503007243","x1454032770062192647",2021-10-29 10:30:01,"R_sugar_r","年上の男性とか上手く話せないから店に来ないで欲しい(こら)","Twitter for Android",,,,,FALSE,FALSE,0,0,0,0,,,,,,,,,,,,,,,,"ja",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/R_sugar_r/status/1454032770062192647","るるめろさん˙˚ʚ₍ ᐢ. ̫ .ᐢ ₎ɞ˚",,"01¦画像加工¦乙ゲ¦あんスタ¦原神¦同担🙅🏻¦🔗:自分用メモ","https://twitter.com/Helpmeeee___/status/1418974997784141825?s=19",FALSE,17,23,0,1680,1062,2021-07-26 18:41:33,FALSE,,,,"https://pbs.twimg.com/profile_banners/1419729588503007243/1635060786","","http://pbs.twimg.com/profile_images/1430406757050769412/P687kjg6_normal.jpg"
"x1419373925755129857","x1454032770074771457",2021-10-29 10:30:01,"Brisa_sy","El pingo bajo la temperatura sigue haciendo 400 grados","Twitter for Android",,,,,FALSE,FALSE,0,0,0,0,,,,,,,,,,,,,,,,"es",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/Brisa_sy/status/1454032770074771457","𝔅 𝔯 𝔦 𝔰 𝔞",,"⛤",,FALSE,113,332,0,205,566,2021-07-25 19:08:20,FALSE,,,,"https://pbs.twimg.com/profile_banners/1419373925755129857/1627245168","","http://pbs.twimg.com/profile_images/1426912701121548291/APYnlGsS_normal.jpg"
"x864758396653715456","x1454032770049527809",2021-10-29 10:30:01,"aicontac","幼女戦記「・・・私ならば。」","aicontac",,,,,FALSE,FALSE,0,0,0,0,,,,,,,,,,,,,,,,"ja",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/aicontac/status/1454032770049527809","aico",,,,FALSE,59,83,2,50744,1,2017-05-17 08:24:03,FALSE,,,,,"","http://pbs.twimg.com/profile_images/867000474960109568/vQDrQ7K__normal.jpg"
"x1274545002736164864","x1454032770045513730",2021-10-29 10:30:01,"fatAvapie","creamiest pussy on onlyfans 💦 https://t.co/P9G0Sk2qiv","Twitter for Android",,,,,FALSE,TRUE,0,0,0,0,,,,,,"http://pbs.twimg.com/ext_tw_video_thumb/1453738343414464524/pu/img/yJ_zhOr5lfWPLkdI.jpg","https://t.co/P9G0Sk2qiv","https://twitter.com/missvenusmae/status/1453738382362771468/video/1","photo","http://pbs.twimg.com/ext_tw_video_thumb/1453738343414464524/pu/img/yJ_zhOr5lfWPLkdI.jpg","https://t.co/P9G0Sk2qiv","https://twitter.com/missvenusmae/status/1453738382362771468/video/1",,"x1394677165199872006","missvenusmae","en",,,,,,,,,,,,,,,,"x1453738382362771468","creamiest pussy on onlyfans 💦 https://t.co/P9G0Sk2qiv",2021-10-28 15:00:14,"Twitter for iPhone",188,78,"x1394677165199872006","missvenusmae","v",2534,36,379,"ᴄʟɪᴄᴋ ᴛʜᴇ ʟɪɴᴋ 👅","deleted at 128k. ᴏɴʟʏꜰᴀɴꜱ • ꜰᴀɴꜱʟʏ •",FALSE,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/fatAvapie/status/1454032770045513730","𝑨𝒗𝒂 𝑷𝒊𝒆 💖","United States","she/her/they • 18+ • DM for business only! All others will be blocked • NO MEET UPS • Insta: @fatAvapie","http://beacons.ai/fatavapie",FALSE,61727,786,131,37060,18086,2020-06-21 03:29:55,FALSE,,,,"https://pbs.twimg.com/profile_banners/1274545002736164864/1632326182","","http://pbs.twimg.com/profile_images/1440705936629190682/G2wfPyRd_normal.jpg"
"x822652290767134720","x1454032770058133504",2021-10-29 10:30:01,"ShelfNerds","@wonderkrisp I am glad that we all have options now!","Twitter for iPhone",39,"x1454032369250410501","x938149160213254144","wonderkrisp",FALSE,FALSE,0,0,0,0,,,,,,,,,,,,,,"x938149160213254144","wonderkrisp","en",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/ShelfNerds/status/1454032770058133504","Chris ⚫️🟡🟡","Florida, USA","Christian. Husband. Dad. Trekkie. Educator/Literacy Coach. Star Trek: Strange New Worlds (2016) winner. I tweet #StarTrek, #MicroTreks, polls, MCU, & Disney.","http://www.youtube.com/c/CompletingTheShelf",FALSE,3685,1818,56,41954,186233,2017-01-21 03:49:25,FALSE,,,,"https://pbs.twimg.com/profile_banners/822652290767134720/1625494611","","http://pbs.twimg.com/profile_images/1422740400436129798/YgFWy_lH_normal.jpg"
"x1418925067371753475","x1454032770057994245",2021-10-29 10:30:01,"istan_db","PINANOOD KO ULIT, AND ITO NAGHIGHLIGHT SAKIN HUHUNESS KINNAMMMM!!! 

“Kayo muna dons”🤪 https://t.co/Nlw4n19l1n","Twitter for Android",,,,,FALSE,TRUE,0,0,0,0,,,,,,"http://pbs.twimg.com/ext_tw_video_thumb/1453875999528030208/pu/img/jxAtopyUx302eAuC.jpg","https://t.co/Nlw4n19l1n","https://twitter.com/justforbelinda/status/1453876053370306561/video/1","photo","http://pbs.twimg.com/ext_tw_video_thumb/1453875999528030208/pu/img/jxAtopyUx302eAuC.jpg","https://t.co/Nlw4n19l1n","https://twitter.com/justforbelinda/status/1453876053370306561/video/1",,"x1362683900288409602","justforbelinda","tl",,,,,,,,,,,,,,,,"x1453876053370306561","PINANOOD KO ULIT, AND ITO NAGHIGHLIGHT SAKIN HUHUNESS KINNAMMMM!!! 

“Kayo muna dons”🤪 https://t.co/Nlw4n19l1n",2021-10-29 00:07:17,"Twitter for iPhone",1636,506,"x1362683900288409602","justforbelinda","Sunshine :)",3739,341,6094,,"donato x belinda l o w k e y 🤍",FALSE,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/istan_db/status/1454032770057994245","jvee",,"SINCE 2020",,FALSE,68,149,0,1682,2700,2021-07-24 13:25:13,FALSE,,,,"https://pbs.twimg.com/profile_banners/1418925067371753475/1627473439","","http://pbs.twimg.com/profile_images/1446403698813407238/nHTsaYmN_normal.jpg"
"x1019956976116289541","x1454032770074923012",2021-10-29 10:30:01,"justnonso_","@Uzomajustin2 😂😂","Twitter for iPhone",2,"x1454031804839743492","x1223950177872027649","Uzomajustin2",FALSE,FALSE,0,0,0,0,,,,,,,,,,,,,,"x1223950177872027649","Uzomajustin2","und",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/justnonso_/status/1454032770074923012","Outerspace","511 Kinderheim.","📸",,FALSE,1955,1291,15,175932,34478,2018-07-19 14:47:47,FALSE,,,,"https://pbs.twimg.com/profile_banners/1019956976116289541/1635501953","","http://pbs.twimg.com/profile_images/1451973161159901191/sDZNRtyU_normal.jpg"
"x1436287052102832128","x1454032770074746884",2021-10-29 10:30:01,"cherrcityx","@taegiveaway @Juswapromotes done","Twitter for Android",4,"x1454027993773318144","x1353847968919547904","taegiveaway",FALSE,FALSE,0,0,0,0,,,,,,,,,,,,,,"x1353847968919547904 x1405135411547045890","taegiveaway Juswapromotes","en",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/cherrcityx/status/1454032770074746884","Cherry🍓",,"Hello !!! it's Cherry here 🥺 cause my account @mooncherrn has been locked😭😡","https://shadowban.eu/mooncherrns",FALSE,315,1917,0,6083,912,2021-09-10 11:15:34,FALSE,,,,"https://pbs.twimg.com/profile_banners/1436287052102832128/1631325172","","http://pbs.twimg.com/profile_images/1448661242449596417/6T8ehnLc_normal.jpg"
"x1301499445381455872","x1454032770062184450",2021-10-29 10:30:01,"Nyan_10x","メンヘラじゃないもん！ ／ Ƨei × Nq7si

Ƨei (@Sei_Qoon)

music : 勇魚 様 (@ 1202Isana)
MIX : うえ (@ u3nc_)
illustration : nima (@ OkashiMgg)
movie : 春望 かなめ (@ sasasa___0) https://t.co/cNYXqiz5rh","Twitter for iPhone",,,,,FALSE,TRUE,0,0,0,0,,,,,,,,,,,,,,"x997135331559276545 x1129344177211265025","74noutq Sei_Qoon","ja",,,,,,,,,,,,,,,,"x1454025221430657034","メンヘラじゃないもん！ ／ Ƨei × Nq7si

Ƨei (@Sei_Qoon)

music : 勇魚 様 (@ 1202Isana)
MIX : うえ (@ u3nc_)
illustration : nima (@ OkashiMgg)
movie : 春望 かなめ (@ sasasa___0) https://t.co/cNYXqiz5rh",2021-10-29 10:00:01,"Twitter Media Studio",318,125,"x997135331559276545","74noutq","Nq7si",5012,91,12933,,"歌唱依頼DMにて @xxx7sy_",FALSE,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/Nyan_10x/status/1454032770062184450","にゃんさん",,"90日後に彼氏できます(12ガツ28日)","https://lit.link/k1rqnyan",FALSE,200,193,25,9075,8694,2020-09-03 12:37:14,FALSE,,,,"https://pbs.twimg.com/profile_banners/1301499445381455872/1634467852","","http://pbs.twimg.com/profile_images/1452299629312184322/-chnj6e7_normal.jpg"
